,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
0,3,0,-0.04771131501848488,-0.7007550966049262,-0.690721710224428,-0.3727347507001652,1,0,1.8899833648589817,-1.4682397478776226,1
1,4,0,-0.04771131501848488,1.4215777095146467,0.12074558253430251,-1.0294237660695578,1,1,2.8156355730238762,-0.3338933271921039,1
2,0,0,-1.7998874548793105,-0.7007550966049262,-0.5658805882615463,0.28395426466922724,1,1,2.1368239537029536,-0.15900218093007787,1
3,1,0,-0.9237993849488977,0.006689172101598107,-0.7115285638849083,0.28395426466922724,2,1,-0.20816164031477966,-1.5024841681247325,1
4,2,0,-1.7998874548793105,-0.7007550966049262,-0.5450737346010661,-0.3727347507001652,2,0,2.0134036592809674,-0.7032438598573617,1
5,4,0,-0.9237993849488977,-1.4081993653114504,-1.002824515131632,-0.3727347507001652,2,0,-0.08474134589279368,-1.3557223670656897,1
6,3,0,-0.9237993849488977,0.7141334408081224,0.8281786069906316,-0.3727347507001652,1,0,-0.6401326707917305,-0.7723442078559943,1
7,4,0,-0.04771131501848488,-1.4081993653114504,0.47446209476246703,-1.0294237660695578,1,0,2.1368239537029536,-0.5075614584453046,1
8,0,0,-0.9237993849488977,0.7141334408081224,-1.2525067590573953,-0.3727347507001652,1,0,-0.14645149310378666,-1.0842130351064605,1
9,1,0,-0.9237993849488977,-0.7007550966049262,-0.9612108078106715,-0.3727347507001652,2,0,0.964331156694087,-1.4963690930806057,1
10,2,0,-0.9237993849488977,0.7141334408081224,-0.44103946629866475,-1.0294237660695578,2,1,-0.08474134589279368,-0.4561948280746396,1
11,4,0,-0.04771131501848488,1.4215777095146467,0.4536552411019868,-0.3727347507001652,2,0,1.149461598327066,-0.23299458896401198,1
12,3,0,-0.9237993849488977,1.4215777095146467,-0.2537777833543423,-0.3727347507001652,2,0,-0.7635529652137165,0.020169517862836914,1
13,4,0,-0.04771131501848488,0.7141334408081224,1.3483499485026382,-0.3727347507001652,0,1,0.964331156694087,-0.6310859743366657,1
14,0,0,-0.04771131501848488,0.006689172101598107,-1.2108930517364347,-0.3727347507001652,1,1,1.8282732176479888,-1.6052174288660626,1
15,1,0,-0.04771131501848488,0.006689172101598107,0.3496209727995854,-0.3727347507001652,1,0,1.9516935120699745,-0.5668776863733345,1
16,2,0,-0.9237993849488977,0.7141334408081224,-1.398154734680757,-1.0294237660695578,2,0,-0.4550022291587516,-1.4920885405497168,1
17,4,2,0.828376754911928,1.4215777095146467,0.3496209727995854,-0.3727347507001652,2,1,1.3963021871710377,0.1944491566204503,1
18,3,2,0.828376754911928,1.4215777095146467,0.5993032167253487,-0.3727347507001652,0,1,0.2855195373731642,-0.6965172773088223,1
19,4,2,-0.04771131501848488,1.4215777095146467,-1.3565410273597964,-0.3727347507001652,2,1,1.9516935120699745,-1.5746420536454286,1
20,0,2,-0.9237993849488977,0.006689172101598107,-1.0236313687921121,-1.0294237660695578,2,0,1.5197224815930237,-1.2921255866067711,1
21,1,2,-0.9237993849488977,-1.4081993653114504,0.4536552411019868,0.28395426466922724,2,0,2.3219543953359327,-0.44946824552610015,1
22,2,2,-1.7998874548793105,1.4215777095146467,-1.1276656370945135,-1.0294237660695578,1,1,-0.7018428180027235,-1.1520903680962677,1
23,4,2,-0.04771131501848488,0.006689172101598107,0.016711314231901166,-0.3727347507001652,0,1,-0.08474134589279368,0.17610393148806994,1
24,3,2,-0.04771131501848488,1.4215777095146467,0.8489854606511119,-1.0294237660695578,2,0,0.9026210094830941,-0.044650277604907,1
25,4,2,-0.9237993849488977,-1.4081993653114504,0.3080072654786249,0.28395426466922724,1,1,0.964331156694087,-0.0843982653917311,1
26,0,2,-0.04771131501848488,-1.4081993653114504,-0.7947559785268293,-0.3727347507001652,0,0,0.6557804206391221,-1.5703615011145398,1
27,1,2,0.828376754911928,-1.4081993653114504,-1.002824515131632,-0.3727347507001652,2,1,1.0877514511160729,-1.3447152319862614,1
28,2,2,-1.7998874548793105,0.006689172101598107,0.49526894842294733,0.28395426466922724,1,1,1.8899833648589817,-0.3057639819891207,1
29,4,2,0.828376754911928,0.7141334408081224,-0.5658805882615463,-1.0294237660695578,1,0,1.3963021871710377,0.11311865853356404,1
30,3,2,-0.9237993849488977,0.7141334408081224,1.161088265558316,-1.0294237660695578,2,0,1.5197224815930237,-0.5460864312233034,1
31,4,2,0.828376754911928,0.006689172101598107,0.9738265826139935,-1.0294237660695578,1,0,2.9390558674458624,-0.17918192857569626,1
32,0,2,-0.9237993849488977,-1.4081993653114504,0.26639355815766436,-0.3727347507001652,1,0,0.5323601262171361,0.09844247842765975,1
33,1,2,-0.04771131501848488,-0.7007550966049262,0.49526894842294733,-0.3727347507001652,2,1,-0.5784225235807375,-0.22810252892871055,1
34,2,2,-0.04771131501848488,-0.7007550966049262,0.3496209727995854,0.28395426466922724,2,0,0.5323601262171361,-0.717920039963266,1
35,4,2,0.828376754911928,0.7141334408081224,-1.2733136127178755,-0.3727347507001652,2,0,1.8899833648589817,-1.1147884103270944,1
36,3,2,-0.9237993849488977,1.4215777095146467,-1.5229958566436386,0.28395426466922724,0,0,3.0007660146568553,-1.319031916800929,1
37,4,2,-1.7998874548793105,0.7141334408081224,-0.6074942955825069,1.5973322954080122,2,0,0.16209924295117825,-0.01774394741074915,1
38,0,2,0.828376754911928,-1.4081993653114504,0.09993872887382224,0.28395426466922724,1,0,2.6305051313908976,0.16570830391305438,1
39,1,2,-0.04771131501848488,-0.7007550966049262,1.2235088265397567,0.9406432800386197,1,0,1.9516935120699745,-0.7650061178030423,1
40,2,2,0.828376754911928,-1.4081993653114504,0.3496209727995854,-1.0294237660695578,1,1,0.10038909574018526,0.1002770009408978,1
41,4,2,0.828376754911928,1.4215777095146467,-1.4813821493226782,0.28395426466922724,2,1,2.9390558674458624,-1.4486715077364167,1
42,3,2,-0.9237993849488977,1.4215777095146467,-1.5229958566436386,-1.0294237660695578,2,1,1.5197224815930237,-1.2150756410507737,1
43,4,2,-0.9237993849488977,-1.4081993653114504,-0.7531422712058687,-1.0294237660695578,1,1,1.8899833648589817,-1.2707228239523274,1
44,0,2,-0.9237993849488977,-1.4081993653114504,-1.2316999053969149,-1.0294237660695578,1,1,0.964331156694087,-1.4101465349584181,1
45,1,2,0.828376754911928,-1.4081993653114504,-0.004095539428579102,-0.3727347507001652,1,0,-0.2698717875257726,-0.4219504078275296,1
46,2,2,-0.9237993849488977,0.7141334408081224,-0.8571765395082701,0.28395426466922724,2,0,1.149461598327066,-1.4609016578246703,1
47,4,2,0.828376754911928,-1.4081993653114504,-1.0444382224525925,-1.0294237660695578,1,1,1.149461598327066,-1.2584926738640738,1
48,3,2,0.828376754911928,0.7141334408081224,-0.42023261263818446,-1.0294237660695578,2,1,-0.2698717875257726,0.07275916324232726,1
49,4,2,0.828376754911928,0.006689172101598107,0.12074558253430251,-0.3727347507001652,1,0,1.6431427760150097,-0.9099333963488471,1
50,0,2,-0.04771131501848488,-1.4081993653114504,-0.5658805882615463,-0.3727347507001652,1,1,1.4580123343820308,-0.9735301768077655,1
51,1,2,-0.04771131501848488,0.7141334408081224,-1.4397684420017176,-0.3727347507001652,1,1,0.5323601262171361,-1.161262980662458,1
52,2,2,-0.04771131501848488,0.006689172101598107,-0.9404039541501912,-0.3727347507001652,1,0,1.8899833648589817,-1.4150385949937194,1
53,4,2,-1.7998874548793105,-1.4081993653114504,-0.8363696858477898,-0.3727347507001652,1,1,1.7048529232260028,-1.5324480358409538,1
54,3,2,-0.04771131501848488,0.006689172101598107,-0.14974351505194097,-0.3727347507001652,0,1,-0.08474134589279368,-0.05810344270198593,1
55,4,2,-1.7998874548793105,1.4215777095146467,0.7449511923487105,0.9406432800386197,1,1,2.0134036592809674,-0.7319847125647576,1
56,0,2,-0.9237993849488977,0.006689172101598107,0.5784963630648684,-0.3727347507001652,1,0,2.9390558674458624,-0.3290012671568025,1
