,num__Customer_care_calls,num__Customer_rating,num__Cost_of_the_Product,num__Prior_purchases,num__Discount_offered,num__Weight_in_gms,cat__Warehouse_block,cat__Mode_of_Shipment,cat__Product_importance,cat__Gender,Reached.on.Time_Y.N
9957,2.5463753660805932,0.709616774210728,1.476283488065953,0.2683049461214632,-0.4534339961642725,-1.1131751630759794,1.0,2.0,1.0,1.0,0
1507,-0.05876424369808559,-1.4161962781816433,-1.564598473031136,-1.0390873198210333,3.1285870828999913,-1.3140432808977134,4.0,0.0,2.0,0.0,1
6382,-0.05876424369808559,-1.4161962781816433,0.06961700266049686,-1.0390873198210333,-0.20639805967708189,0.5029279003712234,2.0,2.0,1.0,0.0,0
1559,-0.9271441136243118,-1.4161962781816433,-0.8198926866400121,-1.0390873198210333,-0.7622289167732608,-1.2175777410319566,4.0,2.0,1.0,1.0,1
5703,0.8096156262281407,1.418221125008185,0.772950245363225,-1.0390873198210333,-0.5769519644078678,1.198945086744405,1.0,2.0,1.0,1.0,0
6075,-0.9271441136243118,-1.4161962781816433,0.400597352167663,-0.385391186849785,-0.6387109485296655,0.8143040100644888,1.0,2.0,2.0,1.0,0
3692,0.8096156262281407,0.0010124234132708424,-0.15793198762567986,-1.0390873198210333,-0.5769519644078678,0.41989427111968597,0.0,1.0,2.0,1.0,1
8990,-0.05876424369808559,-0.7075919273841863,0.586773798765444,0.2683049461214632,-0.20639805967708189,1.162923144642635,0.0,2.0,1.0,0.0,1
4466,-1.795523983550538,0.709616774210728,-0.9233240458610016,-0.385391186849785,-0.3299160279206772,0.8210199653715984,0.0,2.0,1.0,1.0,1
1836,-0.9271441136243118,-1.4161962781816433,-0.6337162400422313,-0.385391186849785,2.3874792734384194,-1.0899745901968734,3.0,2.0,1.0,1.0,1
10512,-0.05876424369808559,1.418221125008185,0.3178522647908715,-1.0390873198210333,-0.20639805967708189,0.6610581207840778,3.0,2.0,1.0,1.0,1
3781,-0.05876424369808559,-1.4161962781816433,-0.2820496186908672,-0.385391186849785,-0.4534339961642725,0.8600946144311454,4.0,2.0,1.0,0.0,0
981,-0.9271441136243118,1.418221125008185,0.6695188861422355,-0.385391186849785,-0.5769519644078678,-0.26513317020549787,1.0,2.0,2.0,1.0,1
9225,0.8096156262281407,0.709616774210728,0.6902051579864334,1.5756972120639596,-0.6387109485296655,0.28435408219438224,1.0,2.0,0.0,0.0,0
1354,-0.9271441136243118,-1.4161962781816433,-0.5923436963538354,-0.385391186849785,1.6463714639768476,-0.05327530733576632,2.0,1.0,2.0,0.0,1
2870,-0.9271441136243118,0.0010124234132708424,-1.8748925506941043,-0.385391186849785,2.5727562258038126,-1.2755791732297217,0.0,1.0,1.0,0.0,1
45,0.8096156262281407,-1.4161962781816433,-0.01312808471629468,-0.385391186849785,-0.26815704379887956,-0.41471581113657635,1.0,2.0,1.0,0.0,1
2542,-1.795523983550538,1.418221125008185,-0.42685352160025236,2.8830894780064567,-0.14463907555528424,-0.3951784866068028,2.0,2.0,2.0,1.0,1
104,-0.9271441136243118,0.0010124234132708424,0.1523620900372884,-0.385391186849785,-0.6387109485296655,-0.8353788299182623,0.0,2.0,1.0,1.0,1
748,-0.9271441136243118,-0.7075919273841863,-0.5923436963538354,-0.385391186849785,1.58461247985505,0.125002778998417,2.0,2.0,2.0,0.0,1
5898,-0.05876424369808559,0.0010124234132708424,-0.42685352160025236,0.9220010790927115,-0.3299160279206772,0.6793743625307405,3.0,0.0,1.0,0.0,0
3617,-0.05876424369808559,1.418221125008185,-0.05450062840469045,0.9220010790927115,-0.39167501204247485,1.3491382690670388,4.0,2.0,1.0,0.0,0
6695,-0.9271441136243118,1.418221125008185,0.8970678764284122,-0.385391186849785,-0.5151929802860702,0.8075880547573792,4.0,1.0,2.0,1.0,0
3881,-0.9271441136243118,-0.7075919273841863,-1.1095004924587826,-0.385391186849785,-0.7622289167732608,1.08355276374043,4.0,2.0,0.0,0.0,0
5767,0.8096156262281407,0.709616774210728,1.0004992356494016,0.9220010790927115,-0.7004699326514631,-1.2187988238150675,4.0,0.0,1.0,0.0,1
10390,0.8096156262281407,-0.7075919273841863,0.23510717741407994,-0.385391186849785,-0.20639805967708189,1.233745946063064,2.0,1.0,2.0,1.0,1
7319,-0.05876424369808559,-1.4161962781816433,-0.033814356560492566,-0.385391186849785,-0.39167501204247485,0.7233333427227309,4.0,2.0,1.0,0.0,1
5035,-0.05876424369808559,1.418221125008185,-1.585284744875334,-0.385391186849785,-0.7622289167732608,-1.5967239451878739,4.0,2.0,1.0,0.0,0
535,-0.05876424369808559,0.709616774210728,-0.6957750555748249,0.2683049461214632,1.1522995910024665,-1.1290492392564204,4.0,1.0,2.0,0.0,1
8313,2.5463753660805932,0.709616774210728,1.6210873909753383,0.2683049461214632,-0.7622289167732608,-1.2004825820684049,1.0,2.0,1.0,1.0,0
10265,0.8096156262281407,-1.4161962781816433,0.8556953327400165,-0.385391186849785,-0.7004699326514631,0.8600946144311454,4.0,1.0,0.0,0.0,0
10088,-0.05876424369808559,-1.4161962781816433,1.1659894104029846,0.2683049461214632,-0.7004699326514631,0.24466889174327977,0.0,2.0,2.0,1.0,0
9560,-0.9271441136243118,-0.7075919273841863,0.5247149832328504,-1.0390873198210333,-0.7004699326514631,0.37593529092769556,0.0,2.0,2.0,1.0,1
2251,0.8096156262281407,-1.4161962781816433,-1.399108298277553,-1.0390873198210333,2.0169253687076334,-1.3653287577883688,4.0,2.0,1.0,1.0,1
1025,0.8096156262281407,0.709616774210728,-0.4061672497560545,0.2683049461214632,3.0668280987781937,-0.9672557704942335,4.0,2.0,2.0,1.0,1
9939,-0.05876424369808559,0.0010124234132708424,0.1523620900372884,0.9220010790927115,-0.26815704379887956,-1.5869552829229872,1.0,2.0,2.0,0.0,0
